Current SP+,Past SP+,Rating,Offense Rating,Defense Rating
Southern Miss,Southern Mississippi,-17.7,20.3,38.1
Stanford,Stanford,-6.2,25.5,31.7
Syracuse,Syracuse,1.6,30.7,29.1
TCU,TCU,11.1,34.8,23.7
Temple,Temple,-16.4,20.8,37.2
Tennessee,Tennessee,18.4,31.4,13
Texas,Texas,26.4,35.4,9
Texas A&M,Texas A&M,17.2,34.9,17.7
Texas State,Texas State,-7.2,27,34.2
Texas Tech,Texas Tech,11.8,38.3,26.5
Toledo,Toledo,-1.4,26.2,27.6
Troy,Troy,-6,23.8,29.8
Tulane,Tulane,3.3,31.4,28.1
Tulsa,Tulsa,-15.6,22.3,37.8
UAB,UAB,-13.8,25.1,38.9
UCF,UCF,0.4,27.8,27.3
UCLA,UCLA,2.9,26.5,23.7
UConn,Connecticut,-5.4,25.1,30.5
UL Monroe,Louisiana Monroe,-14.6,17.8,32.4
UNLV,UNLV,-3.3,27.4,30.7
USC,USC,11,36.2,25.2
Utah,Utah,11,28.3,17.3
Utah State,Utah State,-14.8,24.5,39.4
UTEP,UTEP,-16.1,19,35.1
UTSA,UT San Antonio,0,33.9,33.9
Vanderbilt,Vanderbilt,1.7,27.3,25.7
Virginia,Virginia,-4.3,24.4,28.6
Virginia Tech,Virginia Tech,4.3,28.3,24
Wake Forest,Wake Forest,-4.6,26,30.6
Washington,Washington,6.4,28.8,22.4
Washington State,Washington State,-4.8,30.6,35.5
West Virginia,West Virginia,1,29.9,28.9
Western Kentucky,Western Kentucky,-5.8,22.4,28.2
Western Michigan,Western Michigan,-14.8,20.7,35.5
Wisconsin,Wisconsin,7.2,26.5,19.3
Wyoming,Wyoming,-10.8,21.4,32.2
